_trust,_city,_region
1.0,San Jose,CA
0.7188,San Jose,CA
0.5417,Warsaw,IN
1.0,Atlanta,GA
0.5938,Katy,TX
0.6042,San Jose,CA
1.0,San Jose,CA
0.75,Los Angeles,CA
0.5625,Milwaukee,WI
1.0,Chicago,IL
0.6563,Raleigh,NC
0.5625,,DE
1.0,Owensboro,KY
0.7813,Kalamazoo,MI
0.5833,Madison,MS
1.0,Jacksonville,NC
0.5,Knoxville,TN
0.5625,Rochester,NY
1.0,Saratoga,CA
0.6875,Plainview,NY
0.6667,Newark,DE
1.0,Columbus,OH
0.125,Mount Laurel,NJ
0.625,Taunton,MA
1.0,Charlotte,NC
0.6875,San Jose,CA
0.625,San Jose,CA
1.0,New York,NY
0.7813,Apo,AE
0.7917,Potsdam,NY
1.0,Denver,CO
0.6875,Renton,WA
0.5625,San Jose,CA
1.0,San Jose,CA
0.7188,Chicago,IL
0.6458,Winchester,KY
1.0,New York,NY
0.75,Indianapolis,IN
0.5625,Apo,AE
1.0,Evansville,IN
0.5938,San Jose,CA
0.625,Grand Haven,MI
1.0,Hartford,CT
0.6875,Providence,UT
0.625,Martinsburg,WV
1.0,Mansfield,OH
0.7188,Las Vegas,NV
0.5625,Martinsville,VA
1.0,Dekalb,IL
0.6563,Emporia,KS
0.5625,,DE
1.0,South Hadley,MA
0.625,San Jose,CA
0.5833,Utica,NY
1.0,Atlanta,GA
0.75,Noblesville,IN
0.625,Birmingham,AL
1.0,Dallas,TX
0.6875,Dallas,TX
0.5833,New York,NY
1.0,Schofield,WI
0.7188,Dallas,TX
0.625,Ashland,KY
1.0,El Paso,TX
0.7188,Vernon Hills,IL
0.5,San Jose,CA
1.0,Dallas,TX
0.7188,Rochester,NY
0.625,Toms River,NJ
1.0,Tabor City,NC
0.75,Middletown,NY
0.5625,Atlanta,GA
