,worker_id,group,flesch_coded,org,trust_binary
245,1944668,A,1,CNN,Agree
248,1944668,A,1,Fox News,Neutral
247,1944668,A,0,The New York Times,Agree
249,1944668,A,1,The New York Times,Agree
246,1944668,A,-1,The Wall Street Journal,Agree
196,1944668,B,1,CNN,Neutral
197,1944668,B,0,The New York Times,Agree
198,1944668,B,-1,The New York Times,Neutral
199,1944668,B,-1,The New York Times,Agree
195,1944668,B,0,The Wall Street Journal,Agree
171,2034278,A,0,The New York Times,Disagree
173,2034278,A,-1,The New York Times,Neutral
170,2034278,A,-1,The Wall Street Journal,Neutral
174,2034278,A,-1,The Wall Street Journal,Agree
172,2034278,A,1,the Associated Press,Disagree
340,2034278,B,-1,CNN,Agree
343,2034278,B,-1,CNN,Agree
341,2034278,B,-1,The New York Times,Agree
342,2034278,B,1,The Wall Street Journal,Agree
344,2034278,B,0,The Wall Street Journal,Agree
176,6579519,A,0,The New York Times,Neutral
178,6579519,A,-1,The New York Times,Agree
175,6579519,A,-1,The Wall Street Journal,Neutral
179,6579519,A,-1,The Wall Street Journal,Agree
177,6579519,A,1,the Associated Press,Agree
227,6579519,B,1,CNN,Agree
225,6579519,B,1,The New York Times,Agree
226,6579519,B,-1,The New York Times,Neutral
229,6579519,B,-1,The New York Times,Agree
228,6579519,B,-1,The Wall Street Journal,Agree
88,7333195,A,1,CNN,Neutral
89,7333195,A,1,CNN,Agree
87,7333195,A,0,The New York Times,Agree
85,7333195,A,0,The Wall Street Journal,Agree
86,7333195,A,-1,The Wall Street Journal,Agree
78,7333195,B,1,CNN,Disagree
79,7333195,B,1,CNN,Neutral
77,7333195,B,0,The New York Times,Agree
75,7333195,B,-1,The Wall Street Journal,Agree
76,7333195,B,0,The Wall Street Journal,Agree
118,7876293,A,0,CNN,Agree
119,7876293,A,1,CNN,Agree
116,7876293,A,-1,The New York Times,Agree
117,7876293,A,-1,The New York Times,Disagree
115,7876293,A,-1,The Wall Street Journal,Agree
11,7876293,B,1,CNN,Neutral
10,7876293,B,0,The New York Times,Agree
12,7876293,B,-1,The New York Times,Agree
13,7876293,B,0,The New York Times,Agree
14,7876293,B,-1,The New York Times,Agree
255,9383666,A,1,CNN,Agree
259,9383666,A,0,CNN,Neutral
256,9383666,A,0,The New York Times,Agree
258,9383666,A,-1,The New York Times,Disagree
257,9383666,A,1,the Associated Press,Agree
279,9383666,B,1,CNN,Disagree
275,9383666,B,0,The New York Times,Neutral
276,9383666,B,0,The New York Times,Agree
277,9383666,B,1,The New York Times,Agree
278,9383666,B,0,The New York Times,Disagree
133,9559045,A,0,CNN,Agree
134,9559045,A,1,Fox News,Agree
130,9559045,A,-1,The New York Times,Neutral
131,9559045,A,-1,The Wall Street Journal,Agree
132,9559045,A,-1,The Wall Street Journal,Agree
24,9559045,B,1,CNN,Agree
21,9559045,B,1,Fox News,Agree
20,9559045,B,0,The New York Times,Agree
22,9559045,B,0,The New York Times,Agree
23,9559045,B,-1,The New York Times,Agree
128,11102360,A,0,CNN,Agree
129,11102360,A,1,Fox News,Neutral
125,11102360,A,-1,The New York Times,Agree
126,11102360,A,-1,The Wall Street Journal,Agree
127,11102360,A,-1,The Wall Street Journal,Agree
19,11102360,B,1,CNN,Neutral
16,11102360,B,1,Fox News,Neutral
15,11102360,B,0,The New York Times,Neutral
17,11102360,B,0,The New York Times,Neutral
18,11102360,B,-1,The New York Times,Neutral
136,11106820,A,0,CNN,Agree
137,11106820,A,1,CNN,Agree
135,11106820,A,-1,The New York Times,Agree
138,11106820,A,-1,The New York Times,Agree
139,11106820,A,-1,The New York Times,Agree
118,11106820,B,0,CNN,Neutral
119,11106820,B,1,CNN,Neutral
115,11106820,B,-1,The New York Times,Neutral
117,11106820,B,-1,The New York Times,Neutral
116,11106820,B,-1,The Wall Street Journal,Neutral
301,12009597,A,1,CNN,Agree
303,12009597,A,1,CNN,Agree
304,12009597,A,0,CNN,Neutral
300,12009597,A,-1,The New York Times,Neutral
302,12009597,A,0,The New York Times,Agree
237,12009597,B,1,CNN,Agree
235,12009597,B,1,The New York Times,Neutral
236,12009597,B,-1,The New York Times,Agree
239,12009597,B,-1,The New York Times,Neutral
238,12009597,B,-1,The Wall Street Journal,Neutral
274,13962932,A,1,CNN,Disagree
270,13962932,A,1,The New York Times,Agree
271,13962932,A,0,The New York Times,Disagree
272,13962932,A,0,The New York Times,Neutral
273,13962932,A,0,The New York Times,Agree
70,16468100,A,0,CNN,Agree
73,16468100,A,0,CNN,Agree
72,16468100,A,0,Fox News,Agree
71,16468100,A,-1,The Wall Street Journal,Agree
74,16468100,A,1,The Wall Street Journal,Neutral
100,18053528,A,0,CNN,Neutral
103,18053528,A,1,CNN,Neutral
104,18053528,A,1,Fox News,Neutral
101,18053528,A,-1,The New York Times,Neutral
102,18053528,A,-1,The New York Times,Neutral
36,18053528,B,1,CNN,Neutral
37,18053528,B,1,CNN,Neutral
35,18053528,B,0,The New York Times,Neutral
39,18053528,B,1,The New York Times,Neutral
38,18053528,B,0,the Associated Press,Neutral
83,18386513,A,1,CNN,Agree
84,18386513,A,1,CNN,Agree
82,18386513,A,0,The New York Times,Agree
80,18386513,A,0,The Wall Street Journal,Neutral
