,title,url,org,top_topic,flesch,gunning_fog
2878,2015 Brought Big Money For Clinton And Bush; Sanders Led In Small Contributions,http://www.npr.org/2016/02/01/465095927/2015-brought-big-money-for-clinton-and-bush-sanders-led-in-small-contributions,npr,Campaign Finance,9.2,6.8
2884,5 takeaways from Clinton’s crushing South Carolina win,http://www.politico.com/story/2016/02/five-takeaways-from-clintons-crushing-south-carolina-win-219922,politico,Abortion,9.1,10.4
2887,"Ad of the Week: From Hillary Clinton, a Single Message Told Across the Decades",http://www.nytimes.com/2016/01/31/us/politics/from-hillary-clinton-a-single-message-told-across-the-decades.html,nyt,Campaign Finance,6.4,7.6
2891,"Ahead of Nevada caucus, Clinton goes up with first Spanish-language ads",http://www.cnn.com/2016/02/05/politics/hillary-clinton-spanish-ads-nevada/index.html,cnn,Immigration,11.1,11.2
2896,"Amid ‘Establishment’ Tussle with Clinton, Sanders Affirms Commitment to Abortion Rights",http://blogs.wsj.com/washwire/2016/01/22/amid-establishment-tussle-with-clinton-sanders-affirms-commitment-to-abortion-rights/,wsj,Abortion,7.6,7.6
2898,A New Drinking Game To Play When Clinton Campaign Attacks Sanders,http://www.huffingtonpost.com/miles-mogulescu/a-new-drinking-game-to-pl_b_9051202.html,huffpo,Campaign Finance,10.3,10.4
2902,"AP FACT CHECK: Clinton, Sanders on health care, more",http://feeds.foxnews.com/~r/foxnews/most-popular/~3/ZbY7C9NyVkY/ap-fact-check-clinton-sanders-on-health-care-more.html,fox,Health Care,13.4,11.2
2907,"As Clinton seeks to break the glass ceiling, many young feminists shrug",http://www.latimes.com/la-na-clinton-millennial-women-20160203-story.html,latimes,Abortion,11.1,11.2
2921,Bernie Sanders Ad Steps Up Attack on Hillary Clinton’s Wall Street Ties,http://blogs.wsj.com/washwire/2016/01/28/bernie-sanders-ad-steps-up-attack-on-hillary-clintons-wall-street-ties/,wsj,Financial Regulation,6.0,7.2
2922,Bernie Sanders Against Hillary Clinton: A Lifelong Progressive Against a Lifelong Politician,http://www.huffingtonpost.com/brian-hanley/bernie-sanders-against-hi_b_9163986.html,huffpo,Campaign Finance,9.9,8.8
2923,Bernie Sanders and Elizabeth Warren Have Defeated Hillary Clinton's Political Machine,http://www.huffingtonpost.com/h-a-goodman/bernie-sanders-and-elizab_1_b_9185022.html,huffpo,Foreign Policy/National Security,12.7,11.6
