,title,url,org,top_topic,flesch,gunning_fog
2,2016 match-up: Obama vs Trump,http://www.politico.com/story/2016/01/state-of-the-union-2016-obama-vs-trump-217699,politico,Foreign Policy/National Security,8.3,9.6
4,2nd former Mexican president unloads on Donald Trump,http://feeds.foxnews.com/~r/foxnews/world/~3/6fZtc76vZuA/2nd-former-mexican-president-unloads-on-donald-trump.html,fox,Immigration,14.6,13.6
8,5 numbers that explain why Trump won South Carolina,http://www.politico.com/blogs/5-political-numbers-to-watch/2016/02/donald-trump-south-carolina-numbers-219573,politico,Campaign Finance,6.8,9.2
9,5 questions about whether Trump is really conservative,http://www.mcclatchydc.com/news/politics-government/election/article56138050.html,mcclatchy,Immigration,9.9,10.0
13,6 Questions Ahead Of The Trump-Fox Split-Screen Squirmish,http://www.npr.org/2016/01/28/464652550/6-questions-ahead-of-the-trump-fox-split-screen-squirmish,npr,Foreign Policy/National Security,6.4,7.6
28,"After GOP establishment 'froze' on Trump, Democrats ready battle plans",http://www.cnn.com/2016/02/29/politics/donald-trump-democrats-election-2016/index.html,cnn,Campaign Finance,12.3,10.0
34,"After Terrorists Seize on His Words, Donald Trump Vows to Keep Speaking Out",http://blogs.wsj.com/washwire/2016/01/03/after-terrorists-seize-on-his-words-donald-trump-vows-to-keep-speaking-out/,wsj,Foreign Policy/National Security,7.2,7.2
48,"Among GOP rivals to Trump and Cruz, Rubio has most cash",http://hosted2.ap.org/APDEFAULT/89ae8247abe8493fae24405546e9a1aa/Article_2016-02-01-US--Campaign%202016-Money/id-8d1d218c064248b6960b97500075784d,ap,Campaign Finance,6.8,8.0
52,A Myopic Shift Toward Trump,http://www.wsj.com/articles/a-myopic-shift-toward-trump-1453853916,wsj,Abortion,8.8,7.6
57,Anne Frank's stepsister compares Donald Trump to Adolf Hitler,http://www.cnn.com/2016/01/27/politics/anne-frank-donald-trump-adolf-hitler/index.html,cnn,Immigration,9.1,9.2
58,Anti-abortion groups say they distrust Trump,http://www.politico.com/story/2016/01/donald-trump-anti-abortion-group-distrust-218258,politico,Abortion,9.9,11.2
60,Anxiety Fuels Trump's Fans,http://www.wsj.com/articles/anxiety-fuels-donald-trumps-supporters-1453854519,wsj,Immigration,7.6,7.6
73,Arizona's 'Sheriff Joe' Arpaio endorses Trump,http://www.cnn.com/2016/01/26/politics/sheriff-joe-arpaio-donald-trump-iowa/index.html,cnn,Immigration,9.9,10.0
77,"As Donald Trump and Ted Cruz Soar, G.O.P. Leaders’ Exasperation Grows",http://www.nytimes.com/2016/01/27/us/politics/ted-cruz-donald-trump-republican-establishment.html,nyt,Campaign Finance,7.6,7.6
81,A Small German Town's Link to Trump,http://www.wsj.com/articles/in-trumps-ancestral-home-folks-tout-the-wine-but-not-the-donald-1452561128,wsj,Immigration,6.0,7.2
96,A wounded Rubio goes on the attack against Trump,http://www.politico.com/story/2016/02/marco-rubio-attacks-trump-219125,politico,Campaign Finance,10.7,12.0
100,Barbara Bush isn't 'getting in a spitting match' with Trump,http://www.cnn.com/2016/02/05/politics/barbara-bush-donald-trump-spitting-match/index.html,cnn,Foreign Policy/National Security,6.4,7.6
101,Barbara Bush Knocks Donald Trump as She Stumps for Jeb,http://blogs.wsj.com/washwire/2016/02/05/barbara-bush-knocks-donald-trump-as-she-stumps-for-jeb/,wsj,Foreign Policy/National Security,7.2,7.2
104,Barbara Bush Throws Shade At Donald Trump,http://www.huffingtonpost.com/2016/02/05/barbara-bush-jeb-bush_n_9167338.html,huffpo,Foreign Policy/National Security,5.6,6.8
113,"Behind both Obama and Haley speeches, Trump looms",http://feeds.reuters.com/~r/reuters/MostRead/~3/jwvfghMLePY/story01.htm,reuters,Immigration,10.7,9.6
114,"Bernie Sanders and Donald Trump Voters Share Anger, but Direct It Differently",http://www.nytimes.com/2016/01/31/us/bernie-sanders-and-donald-trump-voters-share-anger-but-direct-it-differently.html,nyt,Campaign Finance,7.6,7.6
121,"Best of 'State of the Union': Trump, Clinton and Sanders",http://www.cnn.com/2016/01/17/politics/hillary-clinton-bernie-sanders-donald-trump-sotu/index.html,cnn,Health Care,5.2,7.6
126,Big debate? Nah… It’s still a Trump world and the other candidates are just living in it,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/fYFKXvjDpZM/big-debate-nah-it-s-still-trump-world-and-other-candidates-are-just-living-in-it.html,fox,Immigration,9.5,9.6
128,Bill Clinton rape accuser says she's backing Trump,http://www.politico.com/story/2016/01/juanita-broaddrick-supports-trump-217446,politico,Financial Regulation,10.3,12.8
138,BORDERLINE ACCURATE Trump camp defends using African migrants in 'wall' ad,http://www.foxnews.com/politics/2016/01/05/trump-criticized-for-campaign-ad-showing-southern-border-using-footage-morocco.html,fox,Immigration,12.3,12.4
142,Breaking down a Trump speech: His words show the power of a new politics,http://www.mcclatchydc.com/news/politics-government/election/article55858535.html,mcclatchy,Foreign Policy/National Security,5.6,6.8
151,British Have a Go at Trump but Shy Away From a Ban,http://www.nytimes.com/2016/01/19/world/europe/donald-trump-british-parliament-debate.html,nyt,Foreign Policy/National Security,8.0,8.0
160,Bush mocks Trump's expensive wardrobe,http://www.cnn.com/2016/01/22/politics/jeb-bush-donald-trump-boots-clothes/index.html,cnn,Campaign Finance,7.2,8.4
162,Bush: Palin wrong to call Trump a conservative,http://www.cnn.com/2016/01/20/politics/jeb-bush-trump-palin-endorsement/index.html,cnn,Foreign Policy/National Security,7.2,8.4
164,Bush skeptical of Trump's new campaign of 'optimism',http://www.cnn.com/2016/02/13/politics/jeb-bush-donald-trump-positive/index.html,cnn,Health Care,7.9,9.2
165,Bush spars with Trump supporter over foreign policy,http://hosted2.ap.org/apdefault/89ae8247abe8493fae24405546e9a1aa/Article_2016-01-16-NH--GOP%202016-Bush/id-6031f74e315e490aa6b0cc67b684e7b5,ap,Foreign Policy/National Security,10.3,10.4
171,Business Lessons from Donald Trump's Iowa Results,http://www.huffingtonpost.com/jeremy-harris-lipschultz/business-lessons-from-don_b_9152894.html,huffpo,Campaign Finance,10.3,9.2
176,"Campaigns lower expectations in Iowa, brace for Trump win",http://www.cnn.com/2016/01/29/politics/iowa-caucuses-donald-trump-ted-cruz-marco-rubio-jeb-bush/index.html,cnn,Abortion,11.1,11.2
184,"Capital Journal Daybreak: Donald Trump and His Debts, More",http://blogs.wsj.com/washwire/2016/01/04/capital-journal-donald-trump-and-his-debts-a-narrow-escape-candidates-diverge-widely-on-how-to-lift-the-middle-class-what-is-certain-about-election-2016/,wsj,Foreign Policy/National Security,11.5,10.4
