,title,url,org,top_topic,flesch,gunning_fog
3973,2015 Brought Big Money For Clinton And Bush; Sanders Led In Small Contributions,http://www.npr.org/2016/02/01/465095927/2015-brought-big-money-for-clinton-and-bush-sanders-led-in-small-contributions,npr,Campaign Finance,9.2,6.8
3980,9 Reasons I Choose Bernie Over Hillary,http://www.huffingtonpost.com/kris-seto/9-things-that-i-just-cant_b_9111540.html,huffpo,Campaign Finance,8.4,8.4
3984,Ad of the Week: Bernie Sanders and Fans Embrace Tune of ‘America’ in Ad Free of Attacks,http://www.nytimes.com/2016/01/24/us/politics/bernie-sanders-and-fans-embrace-tune-of-america-in-ad-free-of-attacks.html,nyt,Campaign Finance,9.1,9.2
3985,Ad of the Week: Bernie Sanders Relies on Supporters for Ad About Unity,http://www.nytimes.com/2016/02/14/us/politics/bernie-sanders-relies-on-supporters-for-ad-about-unity.html,nyt,Campaign Finance,6.8,8.0
3994,"Amid ‘Establishment’ Tussle with Clinton, Sanders Affirms Commitment to Abortion Rights",http://blogs.wsj.com/washwire/2016/01/22/amid-establishment-tussle-with-clinton-sanders-affirms-commitment-to-abortion-rights/,wsj,Abortion,7.6,7.6
3997,A New Drinking Game To Play When Clinton Campaign Attacks Sanders,http://www.huffingtonpost.com/miles-mogulescu/a-new-drinking-game-to-pl_b_9051202.html,huffpo,Campaign Finance,10.3,10.4
3998,"Anthony Weiner: ""I Wouldn't Be Surprised"" If Bernie Sanders Won Iowa, New Hampshire",http://www.buzzfeed.com/andrewkaczynski/anthony-weiner-i-wouldnt-be-surprised-if-bernie-sanders-won,buzzfeed,Health Care,12.7,10.4
4000,An Urgent Message to Bernie Sanders' Supporters,http://www.huffingtonpost.com/paul-fitzgerald/an-urgent-message-to-bern_b_9245946.html,huffpo,Foreign Policy/National Security,14.6,13.6
4002,"AP FACT CHECK: Clinton, Sanders on health care, more",http://feeds.foxnews.com/~r/foxnews/most-popular/~3/ZbY7C9NyVkY/ap-fact-check-clinton-sanders-on-health-care-more.html,fox,Health Care,13.4,11.2
4007,"As Bernie Sanders Makes History, Jews Wonder What It Means",http://www.nytimes.com/2016/02/11/us/politics/bernie-sanders-jewish.html,nyt,Immigration,9.1,8.0
4015,Ben & Jerry Serve Ice Cream to Voters at N.H. Sanders Rally,http://blogs.wsj.com/washwire/2016/02/05/ben-jerry-serve-ice-cream-to-voters-at-n-h-sanders-rally/,wsj,Campaign Finance,11.1,10.0
4017,Bernie and 'The Big Short',http://www.huffingtonpost.com/larry-cohen/bernie-and-the-big-short_b_8920348.html,huffpo,Financial Regulation,12.3,12.4
4021,Bernie blurbs for book on how Obama 'let progressives down',http://www.politico.com/story/2016/01/bernie-sanders-barack-obama-book-cover-218455,politico,Campaign Finance,7.2,9.6
4027,"Bernie or Hillary, the Difference Is YUGE",http://www.huffingtonpost.com/d-c-rutledge/bernie-or-hillary-the-yuge-difference_b_9350348.html,huffpo,Campaign Finance,16.2,12.8
4030,Bernie Sanders Ad Steps Up Attack on Hillary Clinton’s Wall Street Ties,http://blogs.wsj.com/washwire/2016/01/28/bernie-sanders-ad-steps-up-attack-on-hillary-clintons-wall-street-ties/,wsj,Financial Regulation,6.0,7.2
4032,Bernie Sanders Against Hillary Clinton: A Lifelong Progressive Against a Lifelong Politician,http://www.huffingtonpost.com/brian-hanley/bernie-sanders-against-hi_b_9163986.html,huffpo,Campaign Finance,9.9,8.8
4038,"Bernie Sanders and Donald Trump Voters Share Anger, but Direct It Differently",http://www.nytimes.com/2016/01/31/us/bernie-sanders-and-donald-trump-voters-share-anger-but-direct-it-differently.html,nyt,Campaign Finance,7.6,7.6
4039,Bernie Sanders and Elizabeth Warren Have Defeated Hillary Clinton's Political Machine,http://www.huffingtonpost.com/h-a-goodman/bernie-sanders-and-elizab_1_b_9185022.html,huffpo,Foreign Policy/National Security,12.7,11.6
4049,Bernie Sanders blazes a trail to the root of political evils,http://www.latimes.com/la-me-pol-sac-cap-campaign-finance-20160211-column.html,latimes,Campaign Finance,8.8,7.6
4072,Bernie Sanders Has His Own Shadowy Donors -- And They're Nurses,http://www.huffingtonpost.com/2016/02/04/bernie-sanders-super-pac_n_9164780.html,huffpo,Campaign Finance,8.4,8.4
4076,"Bernie Sanders, Hillary Clinton: What progressive means",http://www.cnn.com/2016/02/04/politics/hillary-clinton-bernie-sanders-progressive-fight/index.html,cnn,Health Care,8.4,8.4
4079,Bernie Sanders Is a Once in a Lifetime Presidential Candidate. The Time Is Now.,http://www.huffingtonpost.com/h-a-goodman/bernie-sanders-is-a-once-in-a-lifetime-presidential-candidate-the-time-is-now_b_9108758.html,huffpo,Foreign Policy/National Security,11.1,10.0
4081,"Bernie Sanders Is Democrats’ Top Beneficiary of Outside Spending, Like it or Not",http://www.nytimes.com/2016/01/29/us/politics/bernie-sanders-is-democrats-top-beneficiary-of-outside-spending-like-it-or-not.html,nyt,Campaign Finance,9.1,9.2
4085,"Bernie Sanders is waging war on outside political groups, but they're backing him anyway",http://www.latimes.com/la-na-bernie-sanders-super-pac-20160218-story.html,latimes,Campaign Finance,11.5,10.4
4086,Bernie Sanders Lays Into Republicans For Hypocrisy On Family Values,http://www.huffingtonpost.com/2016/02/05/bernie-sanders-family-values_n_9168832.html,huffpo,Abortion,11.9,10.8
4087,Bernie Sanders Lunchtime Scoop: ‘Tuna Salad’,http://blogs.wsj.com/washwire/2016/02/12/bernie-sanders-lunchtime-scoop-tuna-salad/,wsj,Campaign Finance,6.0,7.2
4090,Bernie Sanders might have an electability problem,http://www.politico.com/story/2016/01/bernie-sanders-might-have-an-electability-problem-218432,politico,Campaign Finance,10.3,11.6
4096,Bernie Sanders' Playbook Is Straight Out of Canada,http://www.huffingtonpost.com/diane-m-francis/two-canadians-are-front-r_b_9119380.html,huffpo,Health Care,9.1,8.0
4097,Bernie Sanders Presses Anti-Wall Street Attack on Hillary Clinton,http://blogs.wsj.com/washwire/2016/01/19/bernie-sanders-presses-anti-wall-street-attack-on-hillary-clinton/,wsj,Financial Regulation,8.0,8.0
4098,Bernie Sanders promises health care details before Iowa caucuses,http://www.cnn.com/2016/01/14/politics/bernie-sanders-paul-kirk-health-care/index.html,cnn,Health Care,13.4,12.4
4101,Bernie Sanders Raised $20 Million in January,http://blogs.wsj.com/washwire/2016/01/31/bernie-sanders-raised-20-million-in-january/,wsj,Campaign Finance,8.0,8.0
4103,Bernie Sanders Releases All Zero Speeches He’s Given To Wall Street,http://www.huffingtonpost.com/2016/02/19/bernie-sanders-hillary-clinton-wall-street-speeches_n_9277204.html,huffpo,Foreign Policy/National Security,9.5,9.6
4104,Bernie Sanders Releases Health Plan And It's Even More Ambitious Than You Thought,http://www.huffingtonpost.com/2016/01/17/bernie-sanders-health-plan_n_9005666.html,huffpo,Health Care,11.9,10.8
4107,"Bernie Sanders Seeks to Raise $40 Million Before the Super Tuesday Showdown, But Will It Matter?",http://www.huffingtonpost.com/brian-hanley/bernie-sanders-seeks-to-r_b_9348132.html,huffpo,Campaign Finance,13.1,10.8
4108,Bernie Sanders’s Fans Toot Their Own Horns to Support Vermont Senator,http://blogs.wsj.com/washwire/2016/01/07/bernie-sanderss-fans-toot-their-own-horns-to-support-vermont-senator/,wsj,Campaign Finance,8.8,7.6
4111,Bernie Sanders' Simon & Garfunkel ad raises goose bumps,http://www.cnn.com/2016/01/24/opinions/donald-trump-bernie-sanders-ads-lippert/index.html,cnn,Immigration,10.3,10.4
4116,"Bernie Sanders -- The Naysayers Have Been Silenced, The Revolution Has Begun",http://www.huffingtonpost.com/khwaja-khusro-tariq/bernie-sanders-naysayers-silenced_b_9136744.html,huffpo,Campaign Finance,13.8,12.8
4119,Bernie Sanders to Tell Wall Street: ‘Greed Is Not Good’,http://blogs.wsj.com/washwire/2016/01/04/bernie-sanders-to-tell-wall-street-greed-is-not-good/,wsj,Financial Regulation,9.5,9.6
4125,"Bernie Sanders Will Ban Private Prisons. Hillary Clinton Accepted $133,246 From Prison Lobbyists",http://www.huffingtonpost.com/h-a-goodman/bernie-sanders-will-ban-private-prisons_b_9297568.html,huffpo,Financial Regulation,10.7,9.6
4127,Bernie Sanders Will Dominate Super Tuesday and Defeat Clinton in Southern States,http://www.huffingtonpost.com/h-a-goodman/bernie-sanders-will-dominate-super-tuesday-and-defeat-clinton-in-southern-states_b_9025190.html,huffpo,Immigration,12.3,11.2
4136,Bernie's foreign policy deficit,http://www.politico.com/story/2016/01/bernie-sanders-foreign-policy-deficit-218431,politico,Foreign Policy/National Security,10.3,10.4
4146,Bernie wins the week on social media,http://www.politico.com/blogs/on-media/2016/01/social-index-bernie-sanders-218429,politico,Campaign Finance,7.9,10.4
4148,"Best of 'State of the Union': Trump, Clinton and Sanders",http://www.cnn.com/2016/01/17/politics/hillary-clinton-bernie-sanders-donald-trump-sotu/index.html,cnn,Health Care,5.2,7.6
4149,"Between Clinton and Sanders Camps, An Airing of Grievances",http://blogs.wsj.com/washwire/2016/01/30/between-clinton-and-sanders-camps-an-airing-of-grievances/,wsj,Campaign Finance,7.2,7.2
4154,Bill O'Reilly Vows To Move To Ireland If Bernie Sanders Is Elected,http://www.huffingtonpost.com/2016/01/15/bill-oreilly-bernie-sanders_n_8991884.html,huffpo,Health Care,7.6,7.6
4167,"Capital Journal Daybreak: Clinton, Sanders Even in Early Races, More",http://blogs.wsj.com/washwire/2016/01/11/capital-journal-clinton-sanders-even-in-early-races-poll-finds-obama-aims-to-counter-gop-doom-and-gloom-jeb-bush-alumni-pound-the-pavement/,wsj,Campaign Finance,11.1,10.0
